seed,final_train_infidelity,final_test_infidelity,seconds,max_mentpy_checkpoint_error
0,2.890068395711154e-06,2.539299820636387e-06,11.37169300000096,7.043917247687978e-16
1,2.9910521410769775e-06,3.7422824946675703e-06,7.8065002000003005,1.1102231530432476e-15
2,1.152907839752082e-06,1.4846548903602041e-06,7.874191499999142,8.885303639733512e-16
3,1.9049859047992612e-06,1.509080395756257e-06,8.359103800001321,9.992012517886807e-16
4,2.7255088492772472e-06,3.4015729150072005e-06,8.52410830000008,1.1102777357599403e-15
5,3.0225344000989196e-06,3.824574238198153e-06,8.02099520000047,1.2212733154052095e-15
6,9.832889017680202e-06,1.1032051863479886e-05,8.600501000000804,1.2212484582212703e-15
7,1.7326047441201808e-07,2.2277945121995657e-07,7.897820000005595,8.88193685329714e-16
8,1.3966056034986352e-06,1.6822019617279693e-06,7.116099600003508,7.771561181394488e-16
9,1.6458936988872352e-06,2.1199351836198588e-06,7.061427799999365,9.992160358078466e-16
10,2.996700198432123e-06,3.815517001459767e-06,7.6181004000027315,8.326970421714611e-16
11,5.367030216918423e-07,6.159974440533844e-07,8.03274500000407,7.771576429895824e-16
12,1.0044475280412968e-06,1.3255732402850384e-06,8.067183499995735,1.221245396304912e-15
13,3.221078587523074e-06,3.6023092495618414e-06,8.237786300000153,7.771561174836573e-16
14,3.0380702211729727e-06,4.21411153750384e-06,7.507944999997562,9.439725743756173e-16
15,5.1793889945805915e-06,5.3140526082851025e-06,7.022694200000842,1.554755426909374e-15
16,9.21630728845102e-07,7.782780834242331e-07,7.812817300000461,1.4432907221488097e-15
17,2.3814783536302286e-06,3.1157870397091614e-06,7.921725199994398,6.661463963856486e-16
18,5.710083194943039e-06,8.923165636165464e-06,6.870019900001353,1.5545011277704684e-15
19,1.0731969224409e-06,8.625985843391248e-07,8.002482100004272,7.21734676303358e-16
